Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100uF","CP_Radial_D5.0mm_P2.00mm",79.000000,-27.000000,0.000000,top
"C2","100nF","C_Disc_D5.0mm_W2.5mm_P2.50mm",78.000000,-34.000000,0.000000,top
"D1","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",76.500000,-21.000000,0.000000,top
"J1","ATX 24-pin","Molex_Mini-Fit_Jr_5566-24A_2x12_P4.20mm_Vertical",57.500000,-11.500000,180.000000,top
"J2","ST7789 LCD","PinSocket_1x08_P2.54mm_Vertical",92.000000,-19.500000,0.000000,top
"J3","SSD1306 OLED","PinSocket_1x04_P2.54mm_Vertical",92.000000,-41.000000,0.000000,top
"J4","FAN","PinHeader_1x04_P2.54mm_Vertical",82.000000,-54.000000,90.000000,top
"J5","T1 GPU","PinHeader_1x03_P2.54mm_Vertical",64.000000,-54.000000,90.000000,top
"J6","T2 CASE","PinHeader_1x03_P2.54mm_Vertical",73.000000,-54.000000,90.000000,top
"J7","WS2812","PinHeader_1x03_P2.54mm_Vertical",55.000000,-54.000000,90.000000,top
"J8","PANEL","PinHeader_1x06_P2.54mm_Vertical",9.000000,-54.000000,90.000000,top
"K1","SRD-05VDC-SL-C","Relay_SPDT_SANYOU_SRD_Series_Form_C",66.000000,-9.500000,0.000000,top
"Q1","S8050","TO-92_Inline",69.000000,-20.400000,0.000000,top
"R1","1k","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",66.000000,-25.500000,0.000000,top
"R2","10k","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",66.000000,-30.500000,0.000000,top
"R3","10k","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",66.000000,-35.500000,0.000000,top
"R4","10k","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",66.000000,-40.500000,0.000000,top
"R5","4.7k","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",66.000000,-45.500000,0.000000,top
"SW1","PWR","SW_PUSH_6mm",25.000000,-49.500000,0.000000,top
"SW2","MENU A","SW_PUSH_6mm",35.000000,-49.500000,0.000000,top
"SW3","MENU B","SW_PUSH_6mm",45.000000,-49.500000,0.000000,top
"U1","ESP32-S3-DevKitC-1","ESP32-S3-DevKitC-1_Socket",62.000000,-18.000000,-90.000000,top
