Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0805_2012Metric",12.500000,-23.500000,0.000000,top
"C4","100nF","C_0603_1608Metric",17.500000,-30.000000,0.000000,top
"D2","1N4148W","D_SOD-123",17.500000,-26.500000,0.000000,top
"J1","ATX 24-pin","Molex_Mini-Fit_Jr_5566-24A_2x12_P4.20mm_Vertical",62.500000,-11.000000,180.000000,top
"J2","LCD","PinHeader_1x08_P2.54mm_Vertical",43.000000,-46.500000,90.000000,top
"J4","FAN","PinHeader_1x04_P2.54mm_Vertical",3.000000,-3.600000,90.000000,top
"J5","T1","PinHeader_1x03_P2.54mm_Vertical",24.500000,-46.500000,90.000000,top
"J6","T2","PinHeader_1x03_P2.54mm_Vertical",33.500000,-46.500000,90.000000,top
"J7","LED","PinHeader_1x03_P2.54mm_Vertical",15.500000,-46.500000,90.000000,top
"J8","PANEL","PinHeader_1x04_P2.54mm_Vertical",4.000000,-46.500000,90.000000,top
"Q1","AO3400A","SOT-23",53.000000,-25.500000,0.000000,top
"R1","10k","R_0603_1608Metric",53.000000,-30.500000,0.000000,top
"R2","10k","R_0603_1608Metric",47.500000,-24.500000,0.000000,top
"R3","20k","R_0603_1608Metric",47.500000,-28.000000,0.000000,top
"R4","4.7k","R_0603_1608Metric",42.500000,-24.500000,0.000000,top
"R6","10k","R_0603_1608Metric",22.500000,-23.500000,0.000000,top
"U1","ESP32-S3-DevKitC-1","ESP32-S3-DevKitC-1_Socket",62.000000,-17.300000,-90.000000,top
