Comment,Designator,Footprint,LCSC Part #
10uF,C1,C_0805_2012Metric,C15850
100nF,C4,C_0603_1608Metric,C14663
1N4148W,D2,D_SOD-123,C81598
ATX 24-pin,J1,Molex_Mini-Fit_Jr_5566-24A_2x12_P4.20mm_Vertical,C114088
FAN,J4,PinHeader_1x04_P2.54mm_Vertical,C124378
T1,J5,PinHeader_1x03_P2.54mm_Vertical,C49257
T2,J6,PinHeader_1x03_P2.54mm_Vertical,C49257
LED,J7,PinHeader_1x03_P2.54mm_Vertical,C49257
PANEL,J8,PinHeader_1x04_P2.54mm_Vertical,C124378
AO3400A,Q1,SOT-23,C20917
10k,"R1,R2,R6",R_0603_1608Metric,C25804
20k,R3,R_0603_1608Metric,C4184
4.7k,R4,R_0603_1608Metric,C23162
