Designator,Mid X,Mid Y,Layer,Rotation
C1,71.0000,-16.0000,Top,0
C2,77.0000,-16.0000,Top,0
C3,9.5000,-45.5000,Top,0
C4,71.5000,-30.0000,Top,0
C5,13.5000,-48.5000,Top,0
C6,13.5000,-45.5000,Top,0
D1,31.5000,-43.6000,Top,0
D2,66.0000,-23.5000,Top,0
J1,66.0000,-11.5000,Top,180
J3,32.0000,-51.5000,Top,0
J4,79.3000,-52.0000,Top,90
J5,61.5000,-52.0000,Top,90
J6,70.5000,-52.0000,Top,90
J7,52.5000,-52.0000,Top,90
J8,41.0000,-52.0000,Top,90
Q1,50.0000,-17.8000,Top,180
R1,45.0000,-17.5000,Top,0
R2,40.5000,-17.5000,Top,0
R3,40.5000,-20.5000,Top,0
R4,62.5000,-44.5000,Top,0
R5,72.5000,-44.5000,Top,0
R6,9.5000,-48.5000,Top,0
R7,38.5000,-23.5000,Top,0
R8,39.2000,-46.6000,Top,0
R9,39.2000,-49.2000,Top,0
SW1,40.0000,-41.5000,Top,0
SW2,48.0000,-41.5000,Top,0
SW3,56.0000,-41.5000,Top,0
SW4,32.0000,-23.0000,Top,0
SW5,32.0000,-30.0000,Top,0
U2,74.5000,-10.0000,Top,180
